Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",118.475000,-71.250000,0.000000,top
"D1","ESD5Z5.0","D_SOD-323",113.700000,-71.250000,0.000000,top
"F1","500mA_PPTC","Fuse_1206_3216Metric",108.350000,-71.250000,0.000000,top
"H1","M2.5_MOUNT_HOLE","MountingHole_2.7mm_M2.5_Pad",114.000000,-75.750000,0.000000,top
"J1","M8_6P_WIRE_PADS","SolderWirePad_1x07_SMD_2.0mm",102.500000,-75.750000,0.000000,top
"J2","MAGSAFE_6P_DOCK","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left",125.500000,-75.750000,0.000000,top
"U1","USBLC6-4SC6","SOT-23-6",119.500000,-75.750000,0.000000,top
