Ref,Val,Package,PosX,PosY,Rot,Side
"J2","PORT_A_M8_6PIN","M8_6Pin_IP67_Receptacle_Socketed",110.000000,-80.000000,0.000000,bottom
"J3","PORT_B_USBC_VERTICAL","USB_C_Receptacle_Vertical_6P",126.000000,-80.000000,180.000000,bottom
"C1","100nF_50V","C_0603_1608Metric",108.000000,-84.000000,90.000000,top
"H1","M2_MountingHole","MountingHole_2.2mm_M2_Pad",103.000000,-80.000000,0.000000,top
"H2","M2_MountingHole","MountingHole_2.2mm_M2_Pad",133.000000,-80.000000,0.000000,top
"J1","MILL_MAX_824_SMD_6P","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left",118.000000,-73.650000,0.000000,top
"U1","SP3012-06UTG","DFN-14_1.35x3.5mm_P0.5mm",108.000000,-76.000000,0.000000,top
"U2","LM66100_PORTA","SOT-363_SC-70-6",124.000000,-75.000000,0.000000,top
"U3","LM66100_PORTB","SOT-363_SC-70-6",124.000000,-83.000000,0.000000,top
